Source	Target	association_score	original	MutualInformation	ENV_daylength_InterationInformation	ENV_daylength_II_p_value	ENV_daylength_DataProcessingInequality_MI_rank	ENV_daylength_COMBI_II_DPI	ENV_Temperature_InterationInformation	ENV_Temperature_II_p_value	ENV_Temperature_DataProcessingInequality_MI_rank	ENV_Temperature_COMBI_II_DPI	ENV_Salinity_InterationInformation	ENV_Salinity_II_p_value	ENV_Salinity_DataProcessingInequality_MI_rank	ENV_Salinity_COMBI_II_DPI	ENV_NH4_InterationInformation	ENV_NH4_II_p_value	ENV_NH4_DataProcessingInequality_MI_rank	ENV_NH4_COMBI_II_DPI	ENV_NO2_InterationInformation	ENV_NO2_II_p_value	ENV_NO2_DataProcessingInequality_MI_rank	ENV_NO2_COMBI_II_DPI	ENV_NO3_InterationInformation	ENV_NO3_II_p_value	ENV_NO3_DataProcessingInequality_MI_rank	ENV_NO3_COMBI_II_DPI	ENV_PO4_InterationInformation	ENV_PO4_II_p_value	ENV_PO4_DataProcessingInequality_MI_rank	ENV_PO4_COMBI_II_DPI	ENV_Si_InterationInformation	ENV_Si_II_p_value	ENV_Si_DataProcessingInequality_MI_rank	ENV_Si_COMBI_II_DPI	COMBI_allENV
ASV_10_16S_022_3	ASV_128_16S_022_3	0.819535053805344	1	0.602389	-0.390311	0.335664	3	1	-0.386353	0.445554	3	1	-0.386353	0.5005	3	1	-0.094055	0.398601	3	1	-0.432416	0.2997	3	1	-0.154067	0.425574	3	1	-0.253508	0.047952	3	1	-0.28917	0.418581	3	1	8
ASV_10_16S_022_3	ASV_68_16S_022_3	0.952161478707018	1	0.713253	-0.535501	0.000999	3	1	-0.464354	0.5005	3	1	-0.464354	0.5005	3	1	-0.260562	0.175824	3	1	-0.417457	0.466533	3	1	-0.118107	0.460539	3	1	-0.427991	0.023976	3	1	-0.561401	0.083916	3	1	8
ASV_100_16S_022_3	ASV_359_16S_3_200	-0.668599545955658	1	0.422865	-0.018359	0.833167	3	1	-0.296985	0.000999	3	1	-0.296985	0.000999	3	1	-0.016754	0.75025	3	1	-0.025519	0.727273	2	1	0.079268	NA	2	1	-0.122037	0.762238	3	1	-0.103646	0.806194	2	1	8
ASV_100_16S_022_3	OTU_2605_18S_3_200	0.61493	1	0.510817	3.759075	NA	3	1	-0.376866	0.000999	3	1	-0.376866	0.000999	3	1	0.376992	NA	3	1	1.39841	NA	3	1	1.360128	NA	3	1	0.512313	NA	3	1	-0.214137	0.722278	3	1	8
ASV_100_16S_022_3	OTU_3421_18S_3_200	0.633014048410931	1	0.473294	3.724502	NA	3	1	-0.418826	0.000999	3	1	-0.418826	0.000999	3	1	0.414515	NA	3	1	1.384688	NA	3	1	1.349886	NA	3	1	0.573271	NA	3	1	-0.186315	0.667333	3	1	8
ASV_100_16S_022_3	OTU_7002_18S_022_3	0.699495017528534	1	0.473294	-0.596477	0.777223	3	1	-0.473294	1	3	1	-0.473294	1	3	1	-0.485802	0.124875	3	1	-0.568825	0.357642	3	1	-0.568825	0.357642	3	1	-0.460786	0.42957	3	1	-0.418826	0.223776	3	1	8
ASV_1000_16S_022_3	ASV_1423_16S_022_3	0.637939989566803	1	0.593841	-0.711582	0.832168	3	1	-0.593841	1	3	1	-0.593841	1	3	1	-0.650565	0.538462	3	1	-0.694985	0.405594	3	1	-0.685823	0.637363	3	1	-0.632936	0.762238	3	1	-0.552047	0.611389	3	1	8
ASV_1003_16S_022_3	OTU_1659_18S_3_200	0.765925943851471	1	0.462599	-0.462599	1	3	1	-0.58034	0.61039	3	1	-0.462599	1	3	1	-0.423791	0.212787	3	1	-0.423791	0.000999	3	1	-0.353816	0.51049	3	1	-0.423791	0.356643	3	1	-0.350492	0.498501	3	1	8
ASV_1004_16S_022_3	ASV_1567_16S_022_3	0.690743446350098	1	0.510817	-0.510817	1	3	1	-0.510817	1	3	1	-0.510817	1	3	1	-0.510817	0.375624	3	1	-0.510817	0.212787	3	1	-0.510817	0.322677	3	1	-0.47201	0.572428	3	1	-0.510817	0.165834	3	1	8
ASV_1004_16S_022_3	OTU_3517_18S_3_200	0.531656920909882	1	0.475853	-0.475853	1	3	1	-0.475853	1	3	1	-0.475853	1	3	1	-0.566263	0.162837	3	1	-0.445716	0.261738	3	1	-0.475853	0.333666	3	1	0.488229	NA	3	1	-0.536126	0.166833	3	1	8
ASV_1004_16S_022_3	OTU_935_18S_3_200	0.696284770965576	1	0.497912	-0.615654	0.779221	3	1	-0.497912	1	3	1	-0.497912	1	3	1	-0.545678	0.362637	3	1	-0.558186	0.177822	3	1	-0.588323	0.278721	3	1	-0.622837	0.654346	3	1	-0.57759	0.110889	3	1	8
ASV_1006_16S_022_3	OTU_828_18S_022_3	0.536002793015664	1	0.560796	-0.528538	0.000999	3	1	-0.528538	0.000999	3	1	2.997323	NA	3	1	-0.401441	0.13986	3	1	-0.440606	0.048951	3	1	-0.434384	0.086913	3	1	-0.578772	0.584416	3	1	-0.520583	0.055944	2	1	8
ASV_1008_16S_022_3	OTU_3772_18S_022_3	-0.588003039360046	1	0.37393	-0.37393	1	3	1	-0.404067	0.778222	3	1	-0.37393	1	3	1	-0.268697	0.651349	2	1	-0.294253	0.749251	3	1	-0.32439	0.371628	2	1	0.28908	NA	3	1	0.156449	NA	3	1	8
ASV_1008_16S_022_3	OTU_7991_18S_3_200	-0.784214827887719	1	0.313656	-0.292805	0.000999	3	1	-0.319462	0.833167	3	1	-0.292805	0.000999	3	1	-0.13052	0.18981	1	1	-0.248128	0.511489	3	1	-0.21635	0.456543	2	1	-0.201036	0.262737	3	1	-0.212648	0.083916	3	1	8
