Source_sorted	Target_sorted	Weight
Actinobacteriota	Dinoflagellata	1
Actinobacteriota	Gammaproteobacteria	2
Alphaproteobacteria	Alphaproteobacteria	5
Alphaproteobacteria	Bacteroidota	1
Alphaproteobacteria	Cercozoa	1
Alphaproteobacteria	Cyanobacteria	1
Bacteroidota	Bacteroidota	1
Bacteroidota	Cercozoa	1
Bacteroidota	Cyanobacteria	1
Bacteroidota	Ochrophyta	2
Cercozoa	Cercozoa	1
Cercozoa	Cyanobacteria	1
Cercozoa	Dinoflagellata	3
Cercozoa	Gammaproteobacteria	1
Cercozoa	Ochrophyta	2
Chlorophyta	Chlorophyta	1
Chlorophyta	Cryptophyta	1
Chlorophyta	Cyanobacteria	1
Chlorophyta	Picozoa	1
Chlorophyta	Prasinodermophyta	1
Chlorophyta	Sagenista	1
Choanoflagellida	Dinoflagellata	1
Choanoflagellida	Ochrophyta	1
Choanoflagellida	Opalozoa	1
Ciliophora	Ciliophora	4
Ciliophora	Dinoflagellata	5
Ciliophora	Haptophyta	1
Ciliophora	Ochrophyta	8
Ciliophora	Picozoa	1
Cryptophyta	Cryptophyta	1
Cyanobacteria	Cyanobacteria	1
Cyanobacteria	Dinoflagellata	1
Cyanobacteria	Mesomycetozoa	1
Cyanobacteria	Opalozoa	1
Cyanobacteria	Planctomycetota	1
Cyanobacteria	Radiolaria	1
Dinoflagellata	Dinoflagellata	17
Dinoflagellata	Gammaproteobacteria	2
Dinoflagellata	Ochrophyta	16
Dinoflagellata	Opalozoa	1
Dinoflagellata	Planctomycetota	1
Dinoflagellata	Prasinodermophyta	1
Dinoflagellata	Radiolaria	1
Dinoflagellata	Sagenista	3
Gammaproteobacteria	Marinimicrobia (SAR406 clade)	1
Gammaproteobacteria	Ochrophyta	1
Gammaproteobacteria	Opalozoa	1
Gammaproteobacteria	Sagenista	1
Gammaproteobacteria	unknown 16S	1
Haptophyta	Planctomycetota	1
Nanoarchaeota	Sagenista	1
Ochrophyta	Ochrophyta	10
Ochrophyta	Opalozoa	3
Ochrophyta	Sagenista	3
Ochrophyta	Telonemia	2
Opalozoa	Opalozoa	3
Opalozoa	Sagenista	2
Opalozoa	Telonemia	1
Radiolaria	Radiolaria	2
Sagenista	Stramenopiles_X	2
Stramenopiles_X	unknown 16S	1
Thermoplasmatota	Thermoplasmatota	1
