Source_sorted	Target_sorted	Weight
Actinobacteriota	Alphaproteobacteria	1
Actinobacteriota	Dinoflagellata	1
Actinobacteriota	Gammaproteobacteria	1
Alphaproteobacteria	Alphaproteobacteria	25
Alphaproteobacteria	Bacteroidota	4
Alphaproteobacteria	Cercozoa	1
Alphaproteobacteria	Cyanobacteria	1
Alphaproteobacteria	Dinoflagellata	1
Alphaproteobacteria	Gammaproteobacteria	7
Alphaproteobacteria	Marinimicrobia (SAR406 clade)	3
Alphaproteobacteria	Ochrophyta	1
Alphaproteobacteria	Planctomycetota	1
Alphaproteobacteria	Sagenista	1
Alphaproteobacteria	Thermoplasmatota	1
Bacteroidota	Bacteroidota	2
Bacteroidota	Cercozoa	1
Bacteroidota	Gammaproteobacteria	3
Bacteroidota	Ochrophyta	1
Bacteroidota	Thermoplasmatota	1
Bdellovibrionota	Gammaproteobacteria	1
Cercozoa	Cercozoa	2
Cercozoa	Cyanobacteria	1
Cercozoa	Dinoflagellata	1
Cercozoa	Gammaproteobacteria	1
Chlorophyta	Chlorophyta	1
Chlorophyta	Cyanobacteria	1
Chlorophyta	Ochrophyta	1
Chlorophyta	Picozoa	1
Ciliophora	Ciliophora	1
Ciliophora	Haptophyta	1
Ciliophora	Ochrophyta	1
Ciliophora	Picozoa	1
Cryptophyta	Cryptophyta	3
Cyanobacteria	Cyanobacteria	1
Cyanobacteria	Gammaproteobacteria	2
Cyanobacteria	Planctomycetota	1
Dinoflagellata	Dinoflagellata	1
Dinoflagellata	Gammaproteobacteria	1
Dinoflagellata	Opalozoa	1
Dinoflagellata	Planctomycetota	1
Dinoflagellata	Sagenista	1
Gammaproteobacteria	Gammaproteobacteria	1
Gammaproteobacteria	Marinimicrobia (SAR406 clade)	2
Gammaproteobacteria	Sagenista	1
Nanoarchaeota	Sagenista	1
Ochrophyta	Ochrophyta	3
Ochrophyta	Sagenista	1
Opalozoa	Sagenista	2
Opalozoa	Telonemia	1
Sagenista	Stramenopiles_X	2
Thermoplasmatota	Thermoplasmatota	1
