Source_sorted	Target_sorted	Weight
Actinobacteriota	Alphaproteobacteria	1
Actinobacteriota	Dinoflagellata	1
Actinobacteriota	Gammaproteobacteria	2
Alphaproteobacteria	Alphaproteobacteria	34
Alphaproteobacteria	Bacteroidota	9
Alphaproteobacteria	Bdellovibrionota	1
Alphaproteobacteria	Cercozoa	1
Alphaproteobacteria	Ciliophora	2
Alphaproteobacteria	Cyanobacteria	2
Alphaproteobacteria	Dinoflagellata	3
Alphaproteobacteria	Gammaproteobacteria	9
Alphaproteobacteria	Marinimicrobia (SAR406 clade)	4
Alphaproteobacteria	Ochrophyta	1
Alphaproteobacteria	Planctomycetota	2
Alphaproteobacteria	Sagenista	2
Alphaproteobacteria	Stramenopiles_X	1
Alphaproteobacteria	Thermoplasmatota	1
Apicomplexa	Ciliophora	1
Bacteroidota	Bacteroidota	3
Bacteroidota	Dinoflagellata	2
Bacteroidota	Gammaproteobacteria	7
Bacteroidota	Marinimicrobia (SAR406 clade)	1
Bacteroidota	Opalozoa	1
Bacteroidota	Planctomycetota	1
Bacteroidota	Thermoplasmatota	1
Bdellovibrionota	Gammaproteobacteria	1
Centroheliozoa	Ciliophora	1
Cercozoa	Ciliophora	1
Cercozoa	Cyanobacteria	1
Cercozoa	Dinoflagellata	1
Chlorophyta	Chlorophyta	2
Chlorophyta	Cyanobacteria	1
Chlorophyta	Picozoa	1
Choanoflagellida	Dinoflagellata	1
Choanoflagellida	Picozoa	1
Ciliophora	Ciliophora	4
Ciliophora	Cryptophyta	3
Ciliophora	Dinoflagellata	4
Ciliophora	Haptophyta	1
Ciliophora	Ochrophyta	3
Ciliophora	Picozoa	2
Ciliophora	Planctomycetota	1
Cryptophyta	Cryptophyta	4
Cryptophyta	Dinoflagellata	1
Cryptophyta	Ochrophyta	1
Cyanobacteria	Cyanobacteria	2
Cyanobacteria	Dinoflagellata	1
Cyanobacteria	Gammaproteobacteria	3
Cyanobacteria	Planctomycetota	1
Cyanobacteria	Radiolaria	1
Dinoflagellata	Dinoflagellata	13
Dinoflagellata	Gammaproteobacteria	3
Dinoflagellata	Ochrophyta	5
Dinoflagellata	Opalozoa	2
Dinoflagellata	Planctomycetota	1
Dinoflagellata	Radiolaria	1
Dinoflagellata	Sagenista	1
Gammaproteobacteria	Gammaproteobacteria	1
Gammaproteobacteria	Marinimicrobia (SAR406 clade)	2
Gammaproteobacteria	Sagenista	1
Gammaproteobacteria	Stramenopiles_X	1
Gammaproteobacteria	unknown 16S	1
Ochrophyta	Ochrophyta	6
Ochrophyta	Pseudofungi	1
Ochrophyta	Radiolaria	1
Ochrophyta	Sagenista	1
Ochrophyta	Telonemia	2
Opalozoa	Opalozoa	1
Opalozoa	Pseudofungi	1
Opalozoa	Sagenista	2
Opalozoa	Telonemia	1
Planctomycetota	Planctomycetota	1
Radiolaria	Radiolaria	2
Sagenista	Stramenopiles_X	1
Sagenista	Telonemia	1
Stramenopiles_X	unknown 16S	1
Thermoplasmatota	Thermoplasmatota	1
