SampleID	daylength	Temperature	Salinity	NH4	NO2	NO3	PO4	Si
EA.20130423	11.94	29.582	36.69	2.1865	0.0275	0.4478	0.0388	1.138
EA.20130604	11.79	28.409	35.1	1.7085	0.027	0.3853	0.0363	0.8778
EA.20130625	11.77	27.292	34.35	NA	NA	NA	NA	NA
EA.20130827	11.97	26.592	35.19	NA	NA	NA	NA	NA
EA.20131127	12.43	27.658	35.32	1.8208	0.0203	0.5345	0.083	1.271
EA.20131230	12.47	28.485	35.29	2.152	0.0323	5.8683	0.0753	3.039
EA.20140211	12.32	28.521	36.09	NA	NA	NA	NA	NA
EA.20140326	12.09	29.255	36.16	1.2515	0.025	0.9648	0.0365	1.7655
EA.20140415	11.98	29.54	35.92	1.6803	0.0238	0.3103	0.0455	1.9193
EA.20140514	11.85	28.417	35.48	NA	NA	NA	NA	NA
EA.20140707	11.79	26.699	35.71	1.036	0.0235	0.586	0.0535	1.4973
EA.20140729	11.84	26.252	35.54	1.2408	0.1055	4.852	0.0873	3.368
EA.20140826	11.96	25.867	36.2	0.652	0.0338	0.1397	0.0575	2.1358
EA.20140930	12.15	26.909	36	4.967	0.0435	1.9623	0.0663	3.0415
EA.20141029	12.3	27.367	33.18	3.369	0.032	0.51	0.0628	3.6165
EA.20141125	12.42	28.276	32.73	4.0278	0.0128	0.3098	0.0478	1.877
EA.20150115	12.43	27.92	34.24	0.9413	0.0705	0.488	0.0735	1.9675
EA.20150227	12.23	28.812	35.84	NA	NA	NA	NA	NA
EA.20150328	12.07	28.825	34.42	2.175	0.0295	0.063	0.0303	3.042
EA.20150425	11.93	29.037	34.6	1.2648	0.0395	0.298	0.0758	2.5103
EA.20150516	11.84	28.794	35.4	0.774	0.0428	0.1055	0.0358	1.3658
EA.20150627	11.78	27.02	34.59	1.3593	0.074	1.4965	0.048	2.4038
EA.20150801	11.85	25.891	33.64	2.2665	0.3388	3.9673	0.117	4.9093
EA.20150829	11.98	26.458	36.1	1.3488	0.0483	0.1368	0.0263	3.0278
EA.20151006	12.18	27.136	33.47	1.9003	0.0538	0.0568	0.0433	5.1163
EA.20151208	12.46	28.711	33.86	NA	NA	NA	NA	NA
EA.20160225	12.25	28.451	37.6	1.1518	0.3188	2.419	0.065	NA
EA.20160322	12.1	29.248	37	0.2115	0.001	0.0495	0.045	2.1453
EA.20160502	11.89	28.285	34.69	1.7618	0.1665	0.549	0.078	5.5795
EA.20160611	11.78	27.316	35.77	1.1465	0.2268	4.2795	0.056	NA
EA.20160822	11.95	26.337	35.2	1.0438	0.0505	0.2355	0.06	2.9745
BL.20130417	13.38	14.51	37.87	0.58	0.18	0.65	0.08	1.356
BL.20130507	14.21	14.96	37.73	0.67	0.21	1.37	0.1	1.451
BL.20130604	15.03	16.92	37.62	1.96	0.17	0.34	0.1	1.249
BL.20130709	14.98	21.61	37.87	0.85	0.11	0.13	0.09	0.456
BL.20130801	14.44	23.58	37.81	3.48	0.22	0.24	0.07	0.459
BL.20130917	12.46	23.41	38.12	0.13	0.06	0.32	0.08	0.712
BL.20131015	11.17	21.4	38.05	0.43	0.1	0.22	0.08	0.816
BL.20131105	10.26	18.06	38.04	0.32	0.11	0.32	0.07	0.81
BL.20131204	9.34	14.42	38.13	0.47	0.38	1.53	0.17	1.878
BL.20140114	9.44	14.28	38.19	0.45	0.16	0.77	0.07	0.905
BL.20140211	10.41	13.4	NA	0.84	0.27	1.04	0.1	0.973
BL.20140310	11.62	13.76	37.92	0.2	0.13	0.43	0.09	0.768
BL.20140407	12.93	14.12	37.89	0.91	0.2	0.78	0.1	1.303
BL.20140505	14.14	16.22	37.85	0.16	0.24	0.1	0.05	0.986
BL.20140602	15	17.53	37.81	1.56	0.08	0.1	0.06	0.935
BL.20140621	15.2	20.66	37.83	0.23	0.04	0.19	0.08	0.909
BL.20140707	15.09	21.99	37.89	0.84	0.03	7.29	0.1	0.915
BL.20140804	14.33	24.77	37.91	0.11	0.02	0.15	0.09	0.904
BL.20140916	12.5	23	NA	0.3	0.01	0.11	0.08	0.881
BL.20141007	11.53	21.3	NA	0.17	0.03	0.21	0.08	0.87
BL.20141111	10.03	18.94	38.17	0.07	0.03	0.19	0.05	0.814
BL.20141216	9.17	15.88	37.78	0.03	0.32	0.81	0.07	1.233
BL.20150113	9.42	14.47	37.82	2.62	0.29	3	0.12	1.742
BL.20150210	10.37	13.05	38.09	2.01	0.35	1.6	0.09	1.395
BL.20150310	11.62	13.27	38.11	0.4	0.23	1.45	0.06	1.628
BL.20150415	13.29	14.38	37.95	0.5	0.17	0.85	0.04	1.805
BL.20150512	14.4	17.71	37.79	0.77	0.06	0.21	0.05	0.354
BL.20150609	15.11	18.97	37.7	0.21	0.05	0.23	0.04	0.672
BL.20150622	15.2	20.59	37.65	0.41	0.07	0.25	0.04	0.54
BL.20150707	15.09	18.9	37.87	1.27	0.16	0.4	0.08	1.036
BL.20150804	14.33	25.48	38.02	0.29	0.02	0.21	0.05	0.77
BL.20150916	12.5	21.3	38.09	0.15	0.05	0.66	0.05	1.846
BL.20151006	11.58	19.47	38.08	0.37	0.05	0.34	0.06	1.24
BL.20151110	10.07	17.64	38.2	0.38	0.06	0.24	0.05	0.994
BL.20151215	9.18	15.38	38.27	0.35	0.18	0.89	0.06	1.756
BL.20160119	9.58	13.91	38.27	9.98	0.22	0.72	0.04	0.907
BL.20160210	10.37	13.61	38.28	0.82	0.21	0.79	0.07	0.911
BL.20160308	11.58	13.33	38.27	3.53	0.38	1.18	0.05	1.311
BL.20160405	12.88	13.56	38.15	1.73	0.31	0.8	0.05	1.223
BL.20160504	14.14	15.57	37.89	0.41	0.06	0.45	0.03	1.53
BL.20160607	15.1	20.11	38.03	0.55	0.04	0.08	0.02	0.453
BL.20160705	15.1	23.64	37.86	0.73	0.05	0.16	0.03	0.212
BL.20160802	14.37	24	NA	2.4	0.09	0.26	0.05	0.318
